LC,Name,Lat,Lon,Altitude,tExp
abingdon.dat,Abingdon,51 37 53.1,-01 16 55.2,59,0.16
agerolat50cm.dat,Agerola50cm,40 37 26.2 ,14 33 50.6,6660,0.16
agerolat28cm.dat,Agerola28cm,40 37 26.2 ,14 33 50.6,6660,0.86
albox.dat,Albox,37 24 20.0,-02 09 07.0,485,2.00
alcantarilha.dat,Alcantarilha,37 07 58.8,-08 21 54.0 ,65,0.33 
algiers.dat,Algiers,36 47 52.1,03 01 56.2,331,0.04
ariana.dat,Ariana,36 53 03.0,10 11 42.0,5,0.5
athens.dat,Athens,37 58 06.8,23 47 00.1,250,1
baronnies.dat,BaronniesObservatory,44 24 29.7,05 30 54.4,820,2.00
belesta.dat,Belesta,43 26 39.4,01 48 58.6,235,0.64
boissettes.dat,Boissettes,48 31 41.0,02 37 28.0,75,0.5
calaraltoswir.dat,CalarAltoSWIR,37 13 24.7,-02 32 44.9,2160,0.063
calaraltot36cm.dat,CalarAlto36cm,37 13 24.7,-02 32 44.9,2160,1.00
calaraltovis.dat,CalarAltoVIS,37 13 24.7,-02 32 44.9,2160,0.11
calern.dat,Calern,43 45 13.2,06 55 22.4,1268,0.10
caserta.dat,Caserta,41 16 11.3,13 56 28.9,407,2.00
cataniat28cm.dat,Catania28cm,37 41 35.8,14 58 29.1,1725,0.64
cataniat80cm.dat,Catania80cm,37 41 35.8,14 58 29.1,1725,0.80
clanfield.dat,Clanfield,50 56 19.2,-01 01 10.6,155,0.16
constancia.dat,Constancia,39 29 41.6,-08 19 25.2,147,0.64
cotesdemeuse.dat,CotesdeMeuse,49 00 07.2,05 41 06.6,284,0.06
cuqlesvielmur.dat,CuqlesVielmur,44 29 05.0,01 55 05.0,300,2.00
darkskyobs.dat,DarkSkyObservatory,36 15 09.6,-81 25 01.2,960,1.5
elvas.dat,Elvas,38 50 47.6,-07 12 27.4,285,0.3
fehrenbachobs.dat,FehrenbachObservatory,50 05 01.5,03 46 34.4,191,0.28
felsinaobs.dat,FelsinaObservatory,44 21 22.0,11 09 09.0,652,0.64
forcarei.dat,Forcarei,42 36 38.4,-08 22 15.1,637,0.64
glyfadaathens.dat,Glyfada-Athens,37 52 33.6,23 46 12.0,100,1.00
guirguillano.dat,Guirguillano,42 42 42.2,01 51 54.3,595,2.65
hamseygreen.dat,HamseyGreen,51 19 09.4,00 04 01.4,170,0.41
hartleywintney.dat,HartleyWintney,51 18 23.2,-00 54 44.9,65,1.00
helmos.dat,Helmos,37 59 08.1,22 11 54.6,2323,0.60
hornchurch.dat,Hornchurch,51 33 06.4,00 11 38.8,14,0.64
houten.dat,Houten,52 01 59.3,05 09 44.2,2.0,0.41
ithaca.dat,Ithaca,42 27 29.4,-76 23 05.5,530,0.2
